kraken:taxid|162145|KU821121.1	KU821121.1
kraken:taxid|162145|OL794442.1	OL794442.1
kraken:taxid|162145|KJ627387.1	KJ627387.1
kraken:taxid|162145|OL794460.1	OL794460.1
kraken:taxid|162145|MN745085.1	MN745085.1
kraken:taxid|162145|MK167039.2	MK167039.2
kraken:taxid|162145|OL794440.1	OL794440.1
kraken:taxid|162145|MZ504964.1	MZ504964.1
kraken:taxid|162145|OL794427.1	OL794427.1
kraken:taxid|42772|JF260923.1	JF260923.1
kraken:taxid|42772|MN914201.1	MN914201.1
kraken:taxid|42772|DQ995644.1	DQ995644.1
kraken:taxid|42772|DQ995642.1	DQ995642.1
kraken:taxid|42772|MN914203.1	MN914203.1
kraken:taxid|42772|JF260922.1	JF260922.1
kraken:taxid|42772|JF260921.1	JF260921.1
kraken:taxid|42772|EF026081.1	EF026081.1
